,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,0,AU,1572865774,50,-33.6445,115.3489,61,13.65
1,lasa,20,CY,1572865745,41,34.9245,32.5278,78.8,6.93
2,monrovia,75,LR,1572865830,79,6.328,-10.7978,84.2,5.99
3,prince rupert,90,CA,1572865774,100,54.3161,-130.3202,50,2.24
4,ilulissat,75,GL,1572865791,45,69.2167,-51.1,24.8,19.46
5,rikitea,100,PF,1572865915,90,-23.1203,-134.9692,74.57,16.87
6,cape town,0,ZA,1572865766,41,-33.929,18.4174,86,5.82
7,san quintin,100,PH,1572865795,92,17.5427,120.5203,75.62,3.78
8,chokurdakh,10,RU,1572865792,94,70.6192,147.9022,-2.13,6.82
9,kapaa,90,US,1572865933,88,22.0752,-159.319,75.2,6.93
10,esperance,0,AU,1572865819,68,-33.8583,121.8932,64.4,16.11
11,ribeira grande,75,PT,1572865902,77,38.5167,-28.7001,66.2,12.75
12,tasiilaq,38,GL,1572865903,86,65.6145,-37.6368,30.2,2.24
13,tuktoyaktuk,67,CA,1572865936,90,69.444,-133.032,20.18,9.84
14,new norfolk,75,AU,1572865824,62,-42.7802,147.0615,52,5.82
15,pevek,89,RU,1572865791,81,69.7028,170.2747,15.19,17.6
16,mount gambier,40,AU,1572865970,87,-37.8302,140.7843,46.4,5.82
17,negombo,40,LK,1572865748,70,7.2094,79.8331,86,4.7
18,port elizabeth,20,US,1572865919,80,39.3134,-74.9811,35.6,4.52
19,houma,0,CN,1572865804,54,35.6254,111.3627,55.44,3.15
20,bambous virieux,40,MU,1572865781,69,-20.3428,57.7575,80.6,16.11
21,arraial do cabo,0,BR,1572865767,83,-22.9663,-42.0245,78.8,12.75
22,aklavik,90,CA,1572865934,85,68.2183,-135.0136,17.6,5.82
23,bathsheba,75,BB,1572865902,74,13.2167,-59.5167,82.4,19.46
24,buraydah,0,SA,1572865742,27,26.3317,43.9717,91.4,11.41
25,muisne,99,EC,1572865911,86,0.6104,-80.0186,75.99,17.94
26,saint george,75,GR,1572865747,64,39.4548,22.34,69.8,11.41
27,mataura,100,NZ,1572865782,52,-46.1928,168.8643,64,11.99
28,adwa,0,ET,1572865751,30,14.1646,38.8955,79.13,15.39
29,castro,75,CL,1572865644,100,-42.4824,-73.7644,41,4.7
30,qaanaaq,100,GL,1572865913,77,77.484,-69.3633,15.73,12.73
31,atuona,8,PF,1572865915,74,-9.8,-139.0334,80.48,17.2
32,lavrentiya,0,RU,1572865915,81,65.5842,-170.989,17.03,3.71
33,ushuaia,75,AR,1572865643,93,-54.807,-68.3074,35.6,40.26
34,piranshahr,0,IR,1572865742,42,36.6988,45.1401,48.35,3.8
35,georgetown,40,GY,1572865766,94,6.8026,-58.1629,77,4.7
36,nanortalik,100,GL,1572865903,62,60.1432,-45.2372,32.4,12.88
37,alyangula,17,AU,1572865819,78,-13.8484,136.4192,80.6,3.36
38,maumere,49,ID,1572865966,74,-8.6257,122.2193,76.88,5.41
39,bredasdorp,0,ZA,1572865781,46,-34.5331,20.0428,75.99,17.22
40,dikson,100,RU,1572865789,91,73.5069,80.5464,10.67,19.39
41,port alfred,0,ZA,1572865747,64,-33.5906,26.891,71.01,5.01
42,kudahuvadhoo,96,MV,1572865789,65,2.6708,72.8944,83.52,5.08
43,cherskiy,43,RU,1572865793,96,68.75,161.3,2.19,2.91
44,san javier,68,BR,1572865903,93,-27.8739,-55.1348,72,1.01
45,punta arenas,20,CL,1572865644,79,-53.1627,-70.9081,41,31.09
46,lebu,78,ET,1572865750,50,8.9611,38.7254,68.51,13.94
47,kodiak,1,US,1572865918,75,39.9519,-94.7572,46,11.41
