,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,colac,100,AU,1572934463,68,-38.34,143.5859,64.99,5.99
1,cidreira,100,BR,1572930694,93,-30.1658,-50.2184,70.94,9.78
2,khatanga,100,RU,1572934438,94,71.9801,102.4743,1.59,12.88
3,arraial do cabo,0,BR,1572930569,85,-22.9663,-42.0245,73.79,8.48
4,auki,0,NG,1572934485,30,12.1824,6.5056,73.43,5.23
5,port lincoln,64,AU,1572930750,82,-34.7212,135.8592,59.03,23.0
6,manokwari,64,ID,1572934359,77,-0.8667,134.0833,79.82,5.44
7,kruisfontein,34,ZA,1572934160,60,-34.0034,24.7314,68.17,8.93
8,busselton,96,AU,1572934276,37,-33.6445,115.3489,75.0,23.15
9,ushuaia,90,AR,1572930571,86,-54.807,-68.3074,37.4,21.92
10,lashio,77,MM,1572934336,59,22.9333,97.75,81.31,1.45
11,bredasdorp,100,ZA,1572934302,82,-34.5331,20.0428,70.0,3.36
12,butaritari,1,KI,1572934449,76,3.0707,172.7902,84.01,13.42
13,punta arenas,90,CL,1572930571,80,-53.1627,-70.9081,41.0,26.4
14,hambantota,40,LK,1572934313,84,6.1241,81.1185,86.0,2.24
15,mahibadhoo,84,MV,1572934336,67,3.7833,72.9667,83.56,8.9
16,nikolskoye,90,RU,1572934185,80,59.7035,30.7861,34.0,17.9
17,saint-philippe,90,CA,1572930718,65,45.3584,-73.4791,50.0,18.34
18,mataura,100,NZ,1572930583,85,-46.1928,168.8643,54.0,8.01
19,georgetown,40,GY,1572930568,100,6.8026,-58.1629,75.2,4.7
20,nouakchott,0,MR,1572934448,33,18.0792,-15.9781,75.2,12.75
21,luderitz,83,NA,1572930568,30,-26.6481,15.1594,68.0,4.7
22,kochubey,49,RU,1572934186,73,44.3919,46.5441,60.4,21.9
23,pyapon,7,MM,1572934176,66,16.2891,95.6801,87.66,11.86
24,port elizabeth,90,US,1572930705,87,39.3134,-74.9811,51.01,7.7
25,ferkessedougou,47,CI,1572934446,85,9.6,-5.2,72.67,2.89
26,imbituba,75,BR,1572930569,100,-28.24,-48.6703,73.4,12.75
27,lavrentiya,0,RU,1572930702,74,65.5842,-170.989,16.92,2.8
28,sinnamary,5,GF,1572930741,80,5.3772,-52.9574,81.49,17.2
29,hobart,75,AU,1572934192,31,-42.8826,147.3281,60.8,13.87
30,ahipara,50,NZ,1572934470,67,-35.1665,173.1562,73.0,5.73
31,isangel,75,VU,1572934451,61,-19.55,169.2667,80.6,11.41
32,talnakh,20,RU,1572934338,77,69.494,88.3908,3.2,20.13
33,rikitea,100,PF,1572930702,89,-23.1203,-134.9692,75.77,4.9
34,vaini,20,IN,1572934323,65,15.336,74.4926,82.4,3.36
35,east london,20,ZA,1572934160,73,-33.0153,27.9116,69.8,14.99
36,pangoa,100,PE,1572930701,99,-12.1167,-73.0,68.64,2.73
37,masuguru,0,MZ,1572934295,50,-11.3808,38.4577,83.97,4.27
38,souillac,98,FR,1572934479,93,45.6006,-0.6,50.0,12.75
39,ancud,18,CL,1572930571,79,-41.8682,-73.8288,47.11,5.84
40,torbay,5,CA,1572930718,93,47.6577,-52.727,39.0,8.05
41,saskylakh,13,RU,1572934437,96,71.965,114.0939,-16.49,4.74
42,cherskiy,95,RU,1572934352,87,68.75,161.3,10.0,4.56
43,miri,0,NG,1572934194,41,10.3127,9.7453,70.8,2.8
44,flinders,0,AU,1572930577,39,-34.581,150.846,66.99,12.75
45,lata,0,IN,1572934164,38,30.7809,78.6152,77.0,4.34
46,maniitsoq,100,GL,1572930692,63,65.4167,-52.9001,33.92,4.76
47,batagay-alyta,100,RU,1572934439,91,67.8006,130.4114,-2.23,4.76
48,alice springs,0,AU,1572934442,10,-23.6984,133.8813,82.4,11.41
49,thompson,90,CA,1572930595,72,55.7433,-97.8635,10.4,9.17
50,pangnirtung,98,CA,1572930718,72,66.149,-65.7179,12.3,3.27
51,adrar,0,DZ,1572934492,39,27.8734,-0.2875,64.4,9.17
52,minot,1,US,1572930576,72,48.2325,-101.2963,16.0,5.82
53,kapaa,75,US,1572930716,88,22.0752,-159.319,75.2,11.41
54,new norfolk,75,AU,1572934456,31,-42.7802,147.0615,60.8,13.87
55,kalmunai,60,LK,1572934164,75,7.4167,81.8167,83.47,6.98
56,hermanus,100,ZA,1572930568,89,-34.4176,19.2361,66.0,4.0
57,san luis,0,AR,1572930571,37,-33.302,-66.337,60.18,12.5
58,sola,69,TZ,1572934144,47,-3.1731,33.8019,77.33,4.81
59,yermakovskoye,100,RU,1572934338,83,53.2831,92.4003,31.77,2.48
60,manado,20,ID,1572934180,41,1.487,124.8455,91.4,9.17
61,maues,21,BR,1572930568,80,-3.3837,-57.7187,76.77,2.1
62,albany,90,US,1572930574,53,42.6512,-73.755,52.0,18.34
63,reforma,99,MX,1572930572,63,24.024,-104.6499,62.01,5.01
64,minas,0,UY,1572930568,93,-34.3774,-55.2383,60.8,3.36
65,barrow,17,AR,1572930571,58,-38.3131,-60.2291,44.3,7.11
66,broome,75,GB,1572934561,100,52.4688,1.4544,46.0,2.24
67,rabo de peixe,75,PT,1572930691,63,37.8,-25.5834,60.8,4.7
68,dikson,100,RU,1572934341,84,73.5069,80.5464,2.36,19.39
69,jamestown,26,AU,1572934447,24,-33.2075,138.6035,71.86,12.82
70,zhezkazgan,90,KZ,1572934345,86,47.8043,67.7144,30.2,8.95
71,hilo,90,US,1572930576,74,19.7072,-155.0817,80.6,5.82
72,lasa,20,CY,1572934148,55,34.9245,32.5278,72.0,9.17
73,grand gaube,75,MU,1572934298,69,-20.0064,57.6608,80.6,11.41
74,popondetta,100,PG,1572934449,94,-8.7668,148.2375,68.8,1.74
75,port alfred,54,ZA,1572934160,83,-33.5906,26.891,70.0,8.99
76,fort morgan,90,US,1572930591,93,40.2503,-103.8,35.6,3.36
77,upernavik,63,GL,1572930692,57,72.7868,-56.1549,18.62,6.87
78,qaanaaq,78,GL,1572930699,82,77.484,-69.3633,8.99,5.84
79,klaksvik,100,FO,1572934343,79,62.2266,-6.5891,35.6,14.99
80,nagato,20,JP,1572934421,48,34.3486,131.1441,64.4,8.05
81,lompoc,90,US,1572930575,100,34.6392,-120.458,54.0,4.7
82,avenal,1,US,1572930575,35,36.0041,-120.1291,57.2,6.93
83,castro,53,CL,1572930571,94,-42.4824,-73.7644,40.0,4.34
84,belgrade,0,RS,1572934294,51,44.8178,20.4569,59.0,10.29
85,faya,0,SA,1572934143,44,18.3851,42.4509,66.2,4.56
86,znamenskoye,67,RU,1572934337,56,57.1274,73.822,27.49,13.58
87,hohhot,0,CN,1572934190,40,40.8106,111.6522,53.6,4.47
88,bethel,40,US,1572930598,67,60.7922,-161.7559,19.4,21.92
89,chara,0,GR,1572934153,87,39.4167,22.4309,53.6,2.86
90,nantucket,40,US,1572930588,76,41.2835,-70.0995,54.0,10.29
91,cape town,0,ZA,1572934892,56,-33.929,18.4174,73.99,4.7
92,malibu,5,MX,1572934915,94,16.7658,-93.1552,69.8,4.7
93,bluff,0,AU,1572934355,9,-23.58,149.0661,92.97,16.98
94,belmonte,79,PT,1572930753,73,40.3583,-7.3513,51.01,8.88
95,kirakira,97,SB,1572934468,75,-10.4569,161.9202,82.9,1.83
96,ribeira grande,73,PT,1572934892,68,38.5167,-28.7001,62.03,12.12
97,puerto escondido,23,MX,1572934917,84,15.8624,-97.0717,74.96,3.36
98,rawson,0,AR,1572930571,33,-43.2992,-65.1057,49.95,22.35
99,te anau,92,NZ,1572934364,97,-45.4145,167.7175,50.12,2.66
100,hofn,100,IS,1572934533,96,64.2539,-15.2082,19.91,0.76
101,kuntaur,40,GM,1572934493,70,13.6706,-14.8895,74.36,3.38
102,chokurdakh,100,RU,1572934354,93,70.6192,147.9022,4.61,9.93
103,grants,1,US,1572930591,23,35.1473,-107.8515,37.4,8.05
104,ostrovnoy,49,RU,1572934188,87,68.0544,39.5129,17.61,19.51
105,pisco,19,PE,1572930571,82,-13.71,-76.203,63.0,11.41
106,iqaluit,75,CA,1572930717,85,63.7494,-68.5219,14.0,14.99
107,kaitangata,100,NZ,1572934470,92,-46.2818,169.8464,53.01,5.99
108,hami,68,CN,1572934178,18,42.8354,93.5128,61.91,3.51
109,haines junction,100,CA,1572930717,89,60.7527,-137.5101,12.23,3.8
110,mar del plata,42,AR,1572930571,46,-46.4276,-67.5191,48.12,36.64
111,camopi,10,GF,1572934892,99,3.166,-52.3341,70.8,2.86
112,geraldton,90,CA,1572930717,85,49.7189,-86.9494,24.8,8.05
113,dumai,100,ID,1572934364,45,1.6833,101.45,93.14,2.86
114,petropavlovsk-kamchatskiy,75,RU,1572934191,80,53.0452,158.6483,39.2,17.9
115,choix,71,MX,1572930702,76,26.7089,-108.3253,67.43,4.9
116,sisimiut,100,GL,1572934898,57,66.9395,-53.6735,30.53,1.74
117,panalingaan,5,PH,1572934372,75,8.7842,117.4231,83.85,26.44
118,camargo,94,MX,1572930572,57,27.6866,-105.1707,65.69,5.35
119,jashpurnagar,1,IN,1572934171,50,22.8767,84.1381,78.32,6.11
120,guerrero negro,0,MX,1572930702,79,27.971,-114.0364,67.29,9.1
121,zhigalovo,100,RU,1572934344,65,54.8127,105.1523,23.8,1.5
122,ilulissat,100,GL,1572934609,65,69.2167,-51.1,30.75,14.36
123,bathsheba,40,BB,1572934892,83,13.2167,-59.5167,80.6,20.8
124,tiksi,37,RU,1572934437,92,71.6366,128.8685,-13.5,2.84
125,onokhoy,100,RU,1572934438,53,51.9231,108.0514,24.8,4.47
126,ammon,1,US,1572930715,59,43.4697,-111.9685,41.0,5.82
127,sitka,1,US,1572930704,80,37.175,-99.6516,36.0,8.05
128,carnarvon,94,ZA,1572934303,18,-30.9678,22.1333,76.97,6.6
129,vilhena,15,BR,1572930571,71,-12.7369,-60.1466,75.21,3.6
130,labuhan,2,ID,1572934361,30,-2.5409,115.5092,98.3,5.91
131,huarmey,13,PE,1572930571,92,-10.0688,-78.1522,62.16,13.76
132,moose factory,90,CA,1572930717,84,51.2585,-80.6095,32.0,3.36
133,kodiak,90,US,1572930705,75,39.9519,-94.7572,45.0,4.7
134,avarua,100,CK,1572930572,73,-21.2078,-159.775,71.6,2.24
135,saint george,40,GR,1572934155,100,39.4548,22.34,53.6,2.86
136,lebu,20,ET,1572934163,63,8.9611,38.7254,60.8,4.7
137,sirnak,0,TR,1572934148,66,37.5228,42.4594,55.4,10.29
138,atuona,0,PF,1572930702,79,-9.8,-139.0334,80.48,20.8
139,mount isa,48,AU,1572934191,9,-20.729,139.4932,93.2,17.22
140,artyom,16,RU,1572934190,23,43.357,132.1854,50.0,13.42
141,hasaki,20,JP,1572934446,39,35.7333,140.8333,68.0,3.36
142,boyolangu,27,ID,1572930748,35,-8.0857,111.9026,91.93,9.01
143,leningradskiy,74,RU,1572934450,84,69.3833,178.4167,14.12,0.38
144,yellowknife,75,CA,1572930576,78,62.4541,-114.3774,17.6,16.11
